onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
18.42	0	1	SparseCorrect	NA	month	4.04	11.24	2	22.48
24.56	0	1	SparseCorrect	NA	squad	3.41	8.48	5	42.4
36.84	0	1	DenseCorrect	NA	rye	4.68	7.14	37	264.18
42.98	0	1	SparseCorrect	NA	speech	3.14	10.5	3	31.5
49.119	0	1	SparseCorrect	NA	staff	4.17	10.62	5	53.1
55.259	0	1	SparseCorrect	NA	kept	2.48	10.56	3	31.68
61.399	0	1	DenseCorrect	NA	read	3.37	12.58	28	352.24
67.539	0	1	DenseIncorrect	NA	tyke	3.88	4.71	25	117.75
73.679	0	1	SparseCorrect	NA	dance	3.79	10.17	6	61.02
79.818	0	1	DenseCorrect	NA	chick	4.93	8.06	23	185.38
85.958	0	1	DenseCorrect	NA	shell	4.74	10.52	21	220.92
92.098	0	1	noise	NA	null	-1	-1	-1	-1
98.238	0	1	DenseCorrect	NA	dull	2.33	8.44	23	194.12
104.377	0	1	SparseCorrect	NA	sperm	4.7	8.44	4	33.76
110.517	0	1	SparseCorrect	NA	farm	4.48	9.29	6	55.74
116.657	0	1	noise	NA	null	-1	-1	-1	-1
122.797	0	1	DenseCorrect	NA	sheet	4.86	9.74	23	224.02
128.937	0	1	noise	NA	null	-1	-1	-1	-1
135.077	0	1	noise	NA	null	-1	-1	-1	-1
141.217	0	1	SparseCorrect	NA	sparse	2.08	7.18	3	21.54
147.357	0	1	DenseCorrect	NA	men	4.7	11.5	27	310.5
153.497	0	1	SparseCorrect	NA	fresh	1.83	9.65	4	38.6
159.636	0	1	noise	NA	null	-1	-1	-1	-1
165.776	0	1	SparseIncorrect	NA	brook	4.32	7.93	6	47.58
171.915	0	1	SparseCorrect	NA	world	4.15	12.6	5	63
178.055	0	1	noise	NA	null	-1	-1	-1	-1
184.195	0	1	SparseCorrect	NA	spank	3.62	7.29	4	29.16
190.335	0	1	SparseCorrect	NA	was	4.79	14.56	1	14.56
196.475	0	1	DenseIncorrect	NA	bell	4.96	10.12	27	273.24
214.894	0	1	SparseCorrect	NA	launch	3.34	9.47	5	47.35
221.034	0	1	DenseCorrect	NA	fate	1.33	9.05	29	262.45
227.174	0	1	DenseCorrect	NA	grate	4.79	6.6	21	138.6
233.314	0	1	DenseIncorrect	NA	rod	4.35	9.88	21	207.48
239.454	0	1	noise	NA	null	-1	-1	-1	-1
245.594	0	1	noise	NA	null	-1	-1	-1	-1
251.734	0	1	DenseCorrect	NA	lace	4.81	8.1	29	234.9
257.873	0	1	DenseCorrect	NA	might	2.21	12.53	28	350.84
264.013	0	1	DenseCorrect	NA	beat	3.97	10.41	33	343.53
270.152	0	1	SparseCorrect	NA	snail	4.81	9.23	5	46.15
276.292	0	1	SparseCorrect	NA	mule	4.89	7.31	6	43.86
282.432	0	1	DenseCorrect	NA	lit	3.53	8.59	37	317.83
300.852	0	1	noise	NA	null	-1	-1	-1	-1
306.992	0	1	SparseCorrect	NA	rinse	3.6	7.44	5	37.2
313.132	0	1	SparseCorrect	NA	judge	3.57	10.25	6	61.5
331.551	0	1	noise	NA	null	-1	-1	-1	-1
337.691	0	1	DenseCorrect	NA	main	2.33	11.21	31	347.51
343.831	0	1	DenseCorrect	NA	pose	3.17	8.38	21	175.98
349.97	0	1	SparseCorrect	NA	smith	4.92	10.73	3	32.19
356.11	0	1	DenseCorrect	NA	lamb	4.93	8.14	27	219.78
374.53	0	1	DenseCorrect	NA	curl	4.22	7.12	23	163.76
